Reference, Value, Footprint,商家编码,数量,单价
"C14
C18
C10
C6
C13
C8
C3
C4",104,Capacitors_SMD:C_0603,0603电容100NF 50V,100个发货,0.03
"C2
C5
C1
C7
C11
C16
C19
C21
C20
C22",106,Capacitors_SMD:C_0805,0805电容10UF 10V,100个发货,0.1
"R4
R2
R5
R7
R8
R10
R12
R11
R13
R9
R3",10K,Capacitors_SMD:C_0603,10K 1% 0603电阻,100个发货,0.02
"C15
C17",12pF,Capacitors_SMD:C_0603,0603电容12PF 50V,100个发货,0.03
R1,1K,Capacitors_SMD:C_0603,1K 1% 0603电阻,100个发货,
R6,1M,Capacitors_SMD:C_0603,1M 1% 0603电阻,100个发货,0.02
"C9
C12",20pF,Capacitors_SMD:C_0603,0603电容20PF 50V,100个发货,0.03
Y2,32.768k,Crystals:Crystal_Round_Horizontal_2mm,直插圆柱晶振32.768,5,0.35
Y1,8MHz,Crystals:crystal_FA238-TSX3225,DSX321G 8MHZ,5,2.5
U1,AMS1117-3.3,TO_SOT_Packages_SMD:SOT-223,AMS1117-3.3,5,0.45
P1,CONN_01X04,Pin_Headers:Pin_Header_Angled_1x04,单排反弯针 1*4,5,0.25
"P2
P3",CONN_01X08,Pin_Headers:Pin_Header_Angled_1x08,单排反弯针 1*8,6,0.25
P4,CONN_01X08,Socket_Strips:Socket_Strip_Straight_1x08,单排母座 1*8,5,0.15
"U2
U3
U5
U6
U7
U9
U8
U10",L9110,SMD_Packages:SOIC-8-N,L9110S,24,2.3
D1,LED,LEDs:LED_0805 绿色,0805贴片LED绿色,5,0.1
U4,STM32F103RCT6,Housings_QFP:LQFP-64_10x10mm_Pitch0.5mm,STM32F103RCT6,5,10.5
SW2,SW_PUSH_SMALL,Buttons_Switches_SMD:SW_SPST_FSMSM,贴片按键,5,
SW1,SWITCH_INV,Buttons_Switches_SMD:SW_SPDT_PCM12,贴片开关,5,